match_id;matchday;kickoff_at;home_team;away_team;is_germany_game
M090;5;2026-07-04T23:00:00+02:00;Sieger M074;Sieger M077;0
M091;5;2026-07-05T22:00:00+02:00;Sieger M076;Sieger M078;0
M092;5;2026-07-06T02:00:00+02:00;Sieger M079;Sieger M080;0
M093;5;2026-07-06T21:00:00+02:00;Sieger M083;Sieger M084;0
M094;5;2026-07-07T02:00:00+02:00;Sieger M081;Sieger M082;0
M095;5;2026-07-07T18:00:00+02:00;Sieger M086;Sieger M088;0
M096;5;2026-07-07T22:00:00+02:00;Sieger M085;Sieger M087;0
M097;6;2026-07-09T22:00:00+02:00;Sieger M089;Sieger M090;0
M098;6;2026-07-10T21:00:00+02:00;Sieger M093;Sieger M094;0
M099;6;2026-07-11T23:00:00+02:00;Sieger M091;Sieger M092;0
M100;6;2026-07-12T03:00:00+02:00;Sieger M095;Sieger M096;0
M101;7;2026-07-14T21:00:00+02:00;Sieger M097;Sieger M098;0
M102;7;2026-07-15T21:00:00+02:00;Sieger M099;Sieger M100;0
M103;8;2026-07-18T23:00:00+02:00;Verlierer M101;Verlierer M102;0
M104;9;2026-07-19T21:00:00+02:00;Sieger M101;Sieger M102;0
